Sat Jul 11 15:30:36 2020 Epoch 79, lr: 0.0010000, train loss: 1.20712, val loss: 1.20712
Sat Jul 11 15:31:38 2020 Epoch 80, lr: 0.0010000, train loss: 0.99628, val loss: 0.99628
Sat Jul 11 15:32:27 2020 Epoch 81, lr: 0.0010000, train loss: 1.22030, val loss: 1.22030
Sat Jul 11 15:33:30 2020 Epoch 82, lr: 0.0010000, train loss: 0.99366, val loss: 0.99366
Sat Jul 11 15:34:33 2020 Epoch 83, lr: 0.0010000, train loss: 0.79150, val loss: 0.79150
Sat Jul 11 15:35:36 2020 Epoch 84, lr: 0.0010000, train loss: 0.75790, val loss: 0.75790
Sat Jul 11 15:36:25 2020 Epoch 85, lr: 0.0010000, train loss: 0.92471, val loss: 0.92471
Sat Jul 11 15:37:13 2020 Epoch 86, lr: 0.0010000, train loss: 0.77002, val loss: 0.77002
Sat Jul 11 15:38:02 2020 Epoch 87, lr: 0.0010000, train loss: 0.85526, val loss: 0.85526
Sat Jul 11 15:38:51 2020 Epoch 88, lr: 0.0010000, train loss: 0.84826, val loss: 0.84826
Sat Jul 11 15:39:39 2020 Epoch 89, lr: 0.0010000, train loss: 0.77419, val loss: 0.77419
Sat Jul 11 15:40:28 2020 Epoch 90, lr: 0.0010000, train loss: 0.79741, val loss: 0.79741
Sat Jul 11 15:41:30 2020 Epoch 91, lr: 0.0010000, train loss: 0.74706, val loss: 0.74706
Sat Jul 11 15:42:33 2020 Epoch 92, lr: 0.0010000, train loss: 0.66962, val loss: 0.66962
Sat Jul 11 15:43:36 2020 Epoch 93, lr: 0.0010000, train loss: 0.61401, val loss: 0.61401
Sat Jul 11 15:44:25 2020 Epoch 94, lr: 0.0010000, train loss: 0.63775, val loss: 0.63775
Sat Jul 11 15:45:27 2020 Epoch 95, lr: 0.0010000, train loss: 0.50950, val loss: 0.50950
Sat Jul 11 15:46:30 2020 Epoch 96, lr: 0.0010000, train loss: 0.47990, val loss: 0.47990
Sat Jul 11 15:47:33 2020 Epoch 97, lr: 0.0010000, train loss: 0.42316, val loss: 0.42316
